fold_id,train_start_pos,train_end_pos,test_start_pos,test_end_pos,train_start_ts,train_end_ts,test_start_ts,test_end_ts,train_bars,test_bars,in_2022
209,5264,5516,5516,5579,2023-11-03,2024-10-23,2024-10-24,2025-01-21,252,63,False
210,5285,5537,5537,5600,2023-12-04,2024-11-21,2024-11-22,2025-02-19,252,63,False
211,5306,5558,5558,5621,2024-01-04,2024-12-20,2024-12-23,2025-03-20,252,63,False
212,5327,5579,5579,5642,2024-02-02,2025-01-21,2025-01-22,2025-04-18,252,63,False
213,5348,5600,5600,5663,2024-03-04,2025-02-19,2025-02-20,2025-05-19,252,63,False
214,5369,5621,5621,5684,2024-04-02,2025-03-20,2025-03-21,2025-06-17,252,63,False
215,5390,5642,5642,5705,2024-05-01,2025-04-18,2025-04-21,2025-07-16,252,63,False
216,5411,5663,5663,5726,2024-05-30,2025-05-19,2025-05-20,2025-08-14,252,63,False
217,5432,5684,5684,5747,2024-06-28,2025-06-17,2025-06-18,2025-09-12,252,63,False
218,5453,5705,5705,5768,2024-07-29,2025-07-16,2025-07-17,2025-10-13,252,63,False
219,5474,5726,5726,5789,2024-08-27,2025-08-14,2025-08-15,2025-11-11,252,63,False
220,5495,5747,5747,5810,2024-09-25,2025-09-12,2025-09-15,2025-12-10,252,63,False
221,5516,5768,5768,5831,2024-10-24,2025-10-13,2025-10-14,2026-01-09,252,63,False
222,5537,5789,5789,5852,2024-11-22,2025-11-11,2025-11-12,2026-02-09,252,63,False
