bar_ts,n_edges,edge_density,mean_abs_corr,median_abs_corr,max_abs_corr,p90_abs_corr,n_components,mean_degree,min_degree,max_degree,deg_EURUSD,deg_GBPUSD,deg_USDJPY,deg_AUDUSD,deg_USDCAD,deg_USDCHF,deg_EURGBP,deg_EURJPY
2016-04-28 21:00:00,17,0.6071428571428571,0.365492309233197,0.37573449049179214,0.8850081490595174,0.5234461092832579,1,4.25,2,6,5,6,4,2,3,5,4,5
2016-04-29 21:00:00,15,0.5357142857142857,0.35684533089059206,0.32300515425957865,0.8847942662782702,0.5398681326737595,1,3.75,2,6,5,6,4,2,2,4,4,3
2016-05-02 21:00:00,14,0.5,0.35574519058089404,0.3290209033656958,0.8862967189261355,0.5419444645370802,1,3.5,2,5,5,5,4,2,2,4,4,2
2016-05-03 21:00:00,16,0.5714285714285714,0.3565601851642618,0.3319935836360528,0.8857677060848039,0.5452563624174214,1,4.0,2,6,5,6,4,2,3,4,5,3
2016-05-04 21:00:00,16,0.5714285714285714,0.35831505514898787,0.3328361498212292,0.8855210133484072,0.5480257580133894,1,4.0,2,6,5,6,4,2,3,4,5,3
2016-05-05 21:00:00,16,0.5714285714285714,0.3575976143573029,0.33023742239440795,0.8845780979898006,0.5505664251654414,1,4.0,2,6,5,6,4,2,3,4,5,3
2016-05-06 21:00:00,16,0.5714285714285714,0.3582602441132564,0.3312681662169731,0.8891958979608953,0.5470323314878223,1,4.0,2,6,5,6,4,2,3,4,5,3
2016-05-09 21:00:00,15,0.5357142857142857,0.3572831221720962,0.33174767296011276,0.885562770856388,0.5460362414668591,1,3.75,2,5,5,5,4,2,3,4,5,2
2016-05-10 21:00:00,15,0.5357142857142857,0.3556072740901644,0.3316392657915873,0.8835383579533866,0.5463928762477618,1,3.75,2,5,5,5,4,2,3,4,5,2
2016-05-11 21:00:00,15,0.5357142857142857,0.354604275156011,0.33520864908305104,0.8826016263005518,0.54649785537395,1,3.75,2,5,5,5,4,2,3,4,5,2
2016-05-12 21:00:00,15,0.5357142857142857,0.3550464063214282,0.3362239980493696,0.8832093778608604,0.5486416398133509,1,3.75,2,5,5,5,4,2,3,4,5,2
2016-05-13 21:00:00,15,0.5357142857142857,0.35496706800078354,0.3368643028541356,0.8808201829101483,0.5487292012193263,1,3.75,2,5,5,5,4,2,3,4,5,2
